Title,Description,Identifier,DatePosted,ValidThrough,Qualifications,ExperienceMonths,OccupationalCategory,Responsibilities,Industry,Skills,SpecialCommitments,WorkHours,EmploymentType,OrganizationName,OrganizationType,OrganizationSameAs,OrganizationLogo,LocationLocality,LocationRegion,LocationPostalCode,LocationStreetAddress,LocationCountry
Insurance Enabling Technologies - Business Analyst - Senior Associate," A career in our Advisory Acceleration Centre is the natural extension of PwC s leading class global delivery capabilities.      We provide premium, cost effective, high quality services that support process quality and delivery capability in support for client engagements.                      As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:            Use feedback and reflection to develop self awareness, personal strengths and address development areas.      Delegate to others to provide stretch opportunities, coaching them to deliver results.      Demonstrate critical thinking and the ability to bring order to unstructured problems.      Use a broad range of tools and techniques to extract insights from current industry or sector trends.      Review your work and that of others for quality, accuracy and relevance.      Know how and when to use tools available for a given situation and can explain the reasons for this choice.      Seek and embrace opportunities which give exposure to different situations, environments and perspectives.      Use straightforward communication, in a structured way, when influencing and connecting with others.      Able to read situations and modify behavior to build quality relationships.      Uphold the firm's code of ethics and business conduct.                              Edu qualifications: BE / B Tech / MCA/ MTech/MBA /PGDM                  Experience range: 3 -8 years.                  Insurance-Property & Casualty Insurance            * Good understanding of Property & Casualty Insurance domain and work            * Experience in at least one of the operational areas - New Business, Policy Administration, Claims and Billing                  *Must have experience in Integration            * Must have very good knowledge in Personal or Commercial Lines of business to a particular geography / multiple geographies            * Must have exposure in Guidewire Product Full Suite or CC/PC/BC, experience on Standard Base Templates of Guidewire product will be an added advantage            * Should possess good amount of experience in Analysis, Requirement gathering, Elicitation and Testing            * Willingness to undertake frequent travels - short term or long term across the globe            * Good experience in developing high impact presentations for internal and external customers.            * Ability to conduct walkthroughs, workshops and meetings involving various business stakeholders.            * Ability to build and maintain client relationships, able to comfortably converse with all facets in the client s organization.            * Contribution to Insurance CoE in driving RFI / RFP and other proposal activities and building knowledge capsules and training decks and imparting training            * Excellent solution evaluation skills. Drive technology solutions from a holistic and business value perspective            * Exposure/Experience in Agile SCRUM or SAFe methodology    ",220124501183,2024-01-22,2024-04-21,EducationalOccupationalCredential,36,Data Science & Analytics,Business Analyst,Accounting / Auditing,"Leadership development, Usage, Claims, Agile scrum, Billing, Process quality, Technology solutions, Management, RFP, Operations",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Data Scientist,"   Having meetings with team members regarding projects.      Collecting and interpreting data.      Automating and integrating processes.      Researching solutions to overcome data analytics challenges.      Developing complex mathematical models that integrate business rules and requirements.      Creating machine learning models.      Communicating and meeting with engineers, IT teams, and other interested parties.      Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.      Experience in technologies like Python, Jupyter, Machine Learning Algorithms, SQL, Data Visualization, Statistical or Mathematical software    ",181022502080,2022-10-18,2023-01-16,EducationalOccupationalCredential,36,Data Science & Analytics,Data Analyst,IT Services & Consulting,"Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python",-,9am-6pm,"Full Time, Permanent",Accolite Software India Pvt Ltd,Organization,Accolite Software India Pvt Ltd,https://img.naukimg.com/logo_images/groups/v1/4577755.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Sr Associate - Data Engineer,"     Analyze and organize raw data            Develop and matain datasets            Build data ingestion pipelines            Evaluate business needs and objectives            Interpret trends and patterns            Conduct complex data analysis and report on results            Prepare data for prescriptive and predictive modeling            Build algorithms and prototypes            Combine raw information from different sources            Explore ways to enhance data quality and reliability            Collaborate with architects on several projects            Previous experience as a data engineer or in a similar role                Technical expertise with data models, data mining, and segmentation techniques                Knowledge of programming languages (e.g. Java and Python)                Hands-on experience with SQL database design                Database and ETL, exposure to SQL Server, SSIS, ADF,      Informatica          pipelines/workflows , exposure to UNIX/LINUX scripting                Azure SQL DW, Azure Data Lake, Azure Analysis Services, DataBricks        ",180423500720,2023-04-18,2023-07-17,EducationalOccupationalCredential,24,Data Science & Analytics,Data Analyst,Accounting / Auditing,"Unix, Market analysis, Data analysis, Linux, Predictive modeling, Data quality, Data mining, SSIS, Analytics, SQL",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Business Analyst,"Project Role : Business Analyst Project Role Description : Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.  Must have skills : SAP CX Service Cloud C4C Good to have skills : NA Minimum  3  year(s) of experience is required Educational Qualification : 15 Years of full time education Summary :As an Infrastructure Consulting Practitioner for Application Technical Architecture, you will be responsible for supporting clients to design, build and run an agile, scalable IT infrastructure that is standardized and optimized to deliver operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Your typical day will involve working with SAP CX Service Cloud C4C and applying infrastructure improvements across the workplace, network, data center and operations as well as providing resources to manage and run the infrastructure on a managed or capacity services basis.  Roles & Responsibilities: Lead the design and implementation of SAP CX Service Cloud C4C solutions for clients, ensuring alignment with business requirements and IT infrastructure standards. Collaborate with cross-functional teams to identify and resolve technical issues related to SAP CX Service Cloud C4C, ensuring timely delivery of solutions. Provide technical guidance and support to clients on SAP CX Service Cloud C4C, including best practices, system configuration, and integration with other systems. Develop and maintain technical documentation related to SAP CX Service Cloud C4C, including system architecture, design, and configuration. Stay updated with the latest advancements in SAP CX Service Cloud C4C and related technologies, integrating innovative approaches for sustained competitive advantage. Professional & Technical Skills: Must To Have Skills:Experience in SAP CX Service Cloud C4C. Good To Have Skills:Experience in IT infrastructure design and implementation. Strong understanding of SAP CX Service Cloud C4C architecture, configuration, and integration with other systems. Experience in developing technical documentation related to SAP CX Service Cloud C4C. Solid grasp of IT infrastructure design and implementation best practices. Additional Information: The candidate should have a minimum of 3 years of experience in SAP CX Service Cloud C4C. The ideal candidate will possess a strong educational background in computer science, information technology, or a related field, along with a proven track record of delivering impactful solutions. Qualification 15 Years of full time education",110524908821,2024-05-11,2024-08-09,EducationalOccupationalCredential,36,Data Science & Analytics,Business Analyst,IT Services & Consulting,"sap, information technology, infrastructure design, service cloud, cx, project management, ux, documentation, business analysis, sql, salesforce, system architecture, agile, technical documentation, cloud computing, aws, it infrastructure, crm",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
Analytics & Modeling Practitioner,"Project Role : Analytics & Modeling Practitioner Project Role Description : Develop business insights using predictive statistical modeling activities. Use analytical tools and techniques to generate and improve decision-making by modeling client, market, and key performance data.  Must have skills : Alteryx Good to have skills : NA Minimum  3  year(s) of experience is required Educational Qualification : Minimum 15 years of education Summary :As an Analytics & Modeling Practitioner, you will be responsible for driving innovation and intellectual property (IP) around specific analytics models and offerings using Alteryx. Your typical day will involve working with data sets, performing data analysis and modeling to extract insights and patterns from large data sets.  Roles & Responsibilities: End to end development - Take ownership for the technical delivery of custom analytic projects Data modeling - Use Alteryx to create a repeatable ETL and data model to serve data to Tableau dashboards Portal delivery - work with our internal technology teams to embed Tableau dashboards into custom portal and provide the required functionality Documentation - Document end to end solution including; data sources, Alteryx data model, Tableau dashboards and portal features. Professional & Technical Skills: Must To Have Skills:Proficiency in Alteryx. Intermediate/advanced Tableau and Tableau Server experience Understanding of data visualization best practices, knowledge In VBA and SQL Experience with Alteryx and Alteryx Server is preferable Understanding and ability to manipulate and join multiple diverse datasets Experience in connecting and working with different types of data sources, for example, SQL and APIs Additional Information: The candidate should have a minimum of 3 years of experience in Alteryx. The ideal candidate will possess a strong educational background in statistics, mathematics, computer science, or a related field, along with a proven track record of delivering impactful data-driven solutions. This position is based at our Bengaluru office. Qualification Minimum 15 years of education",110524908004,2024-05-11,2024-08-09,EducationalOccupationalCredential,36,Data Science & Analytics,Data Analyst,IT Services & Consulting,"alteryx, sql, tableau, vba, api, python, macros, data analysis, data analytics, power bi, business analysis, pivot table, vlookup, machine learning, dashboards, business intelligence, sql server, qlikview, r, advanced excel, microsoft windows, data visualization",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
Business Analyst,"Project Role : Business Analyst Project Role Description : Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.  Must have skills : Microsoft Dynamics Business Central Functional Good to have skills : NA Minimum  3  year(s) of experience is required Educational Qualification : Full time 15 years course Summary :As a Business Analyst for Microsoft Dynamics Business Central Functional, you will be responsible for analyzing an organization and designing its processes and systems, assessing the business model and its integration with technology. Your typical day will involve researching, gathering, and synthesizing information to assess the current state, identify customer requirements, and define the future state and/or business solution.  Roles & Responsibilities: Collaborate with cross-functional teams to identify business requirements and translate them into functional specifications for Microsoft Dynamics Business Central. Analyze and design business processes and systems, assessing the business model and its integration with technology. Assess the current state of the organization and identify customer requirements to define the future state and/or business solution. Research, gather, and synthesize information to support the development of functional specifications and business solutions. Provide guidance and support to development teams to ensure the successful implementation of Microsoft Dynamics Business Central solutions. Professional & Technical Skills: Must To Have Skills:Strong functional knowledge of Microsoft Dynamics Business Central. Good To Have Skills:Experience with Microsoft Dynamics NAV, Dynamics 365, or other ERP systems. Experience in analyzing and designing business processes and systems. Strong understanding of business requirements gathering and functional specification development. Experience in providing guidance and support to development teams. Excellent communication and interpersonal skills. Additional Information: The candidate should have a minimum of 3 years of experience in Microsoft Dynamics Business Central Functional. The ideal candidate will possess a strong educational background in business, information technology, or a related field, along with a proven track record of delivering impactful solutions. This position is based at our Hyderabad office. Qualification Full time 15 years course",110524907693,2024-05-11,2024-08-09,EducationalOccupationalCredential,36,Data Science & Analytics,Business Analyst,IT Services & Consulting,"business central, erp, information technology, microsoft dynamics, microsoft dynamics nav, project management, data analysis, gap analysis, business solutions, business analysis, user stories, sql, brd, business consulting, frd, scrum, agile, requirement analysis",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
Business Architect,"Project Role : Business Architect Project Role Description : Define opportunities to create tangible business value for the client by leading current state assessments and identifying high level customer requirements, defining the business solutions and structures needed to realize these opportunities, and developing business case to achieve the vision.  Must have skills : Business Requirements Analysis Good to have skills : NA Minimum  5  year(s) of experience is required Educational Qualification : graduate Summary :As a Business Architect, you will be responsible for leading current state assessments and identifying high-level customer requirements, defining the business solutions and structures needed to realize these opportunities, and developing a business case to achieve the vision. Your typical day will involve working with stakeholders, analyzing business requirements, and developing solutions to create tangible business value for the client.  Roles & Responsibilities: Lead current state assessments and identify high-level customer requirements. Define the business solutions and structures needed to realize opportunities. Develop a business case to achieve the vision. Collaborate with stakeholders to analyze business requirements and develop solutions to create tangible business value for the client. Professional & Technical Skills: Must To Have Skills:Business Requirements Analysis. Good To Have Skills:Experience in Business Architecture, Business Process Modeling, and Business Process Improvement. Strong understanding of business analysis methodologies and tools. Experience in leading cross-functional teams and managing stakeholder relationships. Excellent communication and presentation skills. Additional Information: The candidate should have a minimum of 5 years of experience in Business Requirements Analysis. The ideal candidate will possess a strong educational background in Business Administration, Information Technology, or a related field, along with a proven track record of delivering impactful business solutions. This position is based at our Hyderabad office. Qualification graduate",110524907640,2024-05-11,2024-08-09,EducationalOccupationalCredential,60,Data Science & Analytics,Business Intelligence & Analytics - Other,IT Services & Consulting,"business requirement analysis, information technology, presentation skills, business analysis, business administration, business process modeling, business process improvement, product management, business process management, agile, business architecture",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
S&C Global Network - AI - Supply Chain Analytics - Manager,"Entity :- Accenture Strategy & Consulting Team :- Strategy & Consulting Global Network Practice :-  Supply Chian Analytics Title :- Manager Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Job Description CL 7 (Data Science Manager Supply Chain Planning) The ideal candidate shall be, An expert in Supply chain operations domain and Data Science skills. Responsible to solution architect, design, build, deploy, deliver, and monitor advanced analytics models for supply chain planning areas such as demand, supply, procurement, inventory, spares, etc. planning. Interface with clients to understand engineering/business problems and translate it into analytics problems that shall deliver insights for action and operational improvements. Take initiatives and collaborate with different Accenture internal teams and support driving sales. Provide innovation and thought leadership support to build key capability areas such as tools & technology, new solutions in supply chain planning and assets & accelerators development. Experience and Education: A minimum 7-9 years of experience in industrial/consulting or related areas is needed with at least 5 years of supply chain advanced analytics solutions design and delivery experience. Good to have global client experiences.  Ideal candidates should have a bachelor's degree preferably in Industrial/ Production/ Statistics/ Economics etc. and master's degree in Statistics/ Economics/ Operations Management/ Supply Chain/ Data Science, etc. Certifications in any one or two of the areas will be an added advantage:Python, AI/ML, Optimization, Simulation, any of the cloud platforms (Azure/ GCP/ AWS). Qualification Mandatory Skills: Must have: Good understanding of overall supply chain planning and operations of any of the industries (CPG, Life sciences, Pharma, Industrial, Resources) and connect it with analytics solutions. Deep understanding of advanced analytics solutions descriptive, diagnostic, predictive, prescriptive, and generative and hands-on experience in building models using machine learning, deep learning, Gen AI models. Strong experience in any one or two of the supply chain functions demand planning, inventory planning, S&OP, logistics planning, etc. Hands-on programming experience with any of the analytics tools, data bases and visualization tools and platforms (Python, PySpark, SQL, Bigdata tools, PowerBI/ Tableau). Strong written and oral communication skills. Good to have: SME in one or more of the supply chain functions Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Experience in live data streaming and data ingestion tools.",110424910538,2024-04-11,2024-07-10,EducationalOccupationalCredential,84,Data Science & Analytics,Analytics / BI Manager,IT Services & Consulting,"demand planning, sales and operations planning, supply chain operations, data science, inventory planning, advanced analytics, logistics planning, python, supply chain, microsoft azure, machine learning, artificial intelligence, industrial, ops, gcp, aws, ml",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
Senior Associate 2- D&AT IFS - Data Engineer,"     Analyze and organize raw data         Develop and matain datasets         Build data ingestion pipelines         Evaluate business needs and objectives         Interpret trends and patterns         Conduct complex data analysis and report on results         Prepare data for prescriptive and predictive modeling         Build algorithms and prototypes         Combine raw information from different sources         Explore ways to enhance data quality and reliability         Collaborate with architects on several projects           Previous experience as a data engineer or in a similar role             Technical expertise with data models, data mining, and segmentation techniques             Knowledge of programming languages (e.g. Java and Python)             Hands-on experience with SQL database design             Database and ETL, exposure to SQL Server, SSIS, ADF,      Informatica         pipelines/workflows , exposure to UNIX/LINUX scripting   Azure SQL DW, Azure Data Lake, Azure Analysis Services, DataBricks       ",110323500753,2023-03-11,2023-06-09,EducationalOccupationalCredential,48,Data Science & Analytics,Data Analyst,Accounting / Auditing,"Unix, Market analysis, Data analysis, Linux, Predictive modeling, Data quality, Data mining, SSIS, Analytics, SQL",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Senior Associate - Data Engineer- D&AT IFS,"     Analyze and organize raw data         Develop and matain datasets         Build data ingestion pipelines         Evaluate business needs and objectives         Interpret trends and patterns         Conduct complex data analysis and report on results         Prepare data for prescriptive and predictive modeling         Build algorithms and prototypes         Combine raw information from different sources         Explore ways to enhance data quality and reliability         Collaborate with architects on several projects           Previous experience as a data engineer or in a similar role             Technical expertise with data models, data mining, and segmentation techniques             Knowledge of programming languages (e.g. Java and Python)             Hands-on experience with SQL database design             Database and ETL, exposure to SQL Server, SSIS, ADF,      Informatica         pipelines/workflows , exposure to UNIX/LINUX scripting   Azure SQL DW, Azure Data Lake, Azure Analysis Services, DataBricks       ",110323500751,2023-03-11,2023-06-09,EducationalOccupationalCredential,24,Data Science & Analytics,Data Analyst,Accounting / Auditing,"Unix, Market analysis, Data analysis, Linux, Predictive modeling, Data quality, Data mining, SSIS, Analytics, SQL",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Measurement & Report Senior Analyst,"Skill required:  Trust & Safety - Reporting Analytics Designation:  Measurement & Report Senior Analyst Qualifications: Any Graduation/10th/SSLC/SSC/12th/PUC/HSC  Years of Experience: 5 to 8 years  Language - Ability: English - Advanced  What would you do? Enables a superior brand experience , accelerates responsible growth and creates a secure environmentIn Reporting and Analytics, you will have to prepare management reports and analysis, both recurring and ad-hoc. This includes focusing on tracking business performance through trusted data and insights while actively managing employee behaviors. What are we looking for? Microsoft Excel Microsoft Power BI Reporting Analytics Problem-solving skills Strong analytical skills Ability to manage multiple stakeholders Ability to meet deadlines Google Data Studio Google Looker Data Platform  Roles and Responsibilities: In this role you are required to do analysis and solving of increasingly complex problems Your day to day interactions are with peers within Accenture You are likely to have some interaction with clients and/or Accenture management You will be given minimal instruction on daily work/tasks and a moderate level of instruction on new assignments Decisions that are made by you impact your own work and may impact the work of others In this role you would be an individual contributor and/or oversee a small work effort and/or team Please note that this role may require you to work in rotational shifts Qualification Any Graduation,10th/SSLC/SSC,12th/PUC/HSC",100524911247,2024-05-10,2024-08-08,EducationalOccupationalCredential,60,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"microsoft power bi, data analysis, reporting analysis, vba, advanced excel, macros, software testing, mis reporting, quality control, forecasting, power bi, business analysis, pivot table, vlookup, sql server, sql, tableau, mis, quality assurance, data visualization",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Hyderabad,Hyderabad,-,-,-
Reporting Analyst,"     If youre looking for challenging work, smart colleagues, and a global employer with a social conscience, come explore your potential at Invesco. Make a difference every day!                          Key      Responsibilities     / Duties         :                                     Maintain data and data systems     .                           Ensure      all data requirements     /     validations      are      executed     i     n      a timely     and      accurate         manner     .                         Identify     and r     esolve issues      in a timely manner     .                               Identify     workflow/system improvements and work with supervisor      to enact change     .                                 The analyst must be able to answer questions from other analysts         and users regarding the details of      the data.                                         Formal Education         :                                    A      Bachelor s      or Master s         degree or an equivalent certificate in Finance, Accounting, Management and Mathematics                                                                   Work Experience     / Knowledge:                                         A minimum of 1-3 years experience in Finance/Investment banking/management industry is preferred.                                 Prepare,      interpret     and investigate anomalies in attribution/contribution reports used in the analyses of performance.                              Assist     in the construction and maintenance of composites in compliance with the Global Investment Performance Standards (GIPS) for assigned portfolios/strategies     .                             Ensure performance data has been represented in a complete and accurate manner within Senior Management reports, third-party databases, sales materials and regulatory filings.                                 Exhibit comprehensive knowledge in performance and      maintain     current knowledge with regulatory and industry guidelines     .                                      Ability to use reporting tools such as Power BI/Tableau and knowledge of R, Python & SQL.                                     Skills     / Other Personal Attributes Required:                                         Demonstrates a high degree of growth mindset & adaptability to change and innovation.      Seeks     to understand change and its implication and benefits, then adapts behavior to support the change.                                 A friendly professional demeanor and ability to excel in a      team-oriented     environment     .                                 Analytical Skills     -         a     bility to analyze large data (facts,      figures     and number crunching)      detail-oriented aptitude and a high degree of accuracy is      required     .                                 Critical Thinking -      a     bility to look at data and trends and come to new conclusions based on findings     .                                 Attention to detail      -         ensure vigilance in the analysis and arrive at right      conclusions     .                                 Communication Skills      -         ability      to      present the findings and translate the data into an understandable document     .                                 Excellent      organization     skills, the ability to work under pressure and attention to detail and accuracy      a necessity     .                             Ability to provide process and development feedback and train team members on process activities     .                                     Evaluate output to      ensure     meets stakeholder requirements     .      Analyze and summarize key findings     .                             Strong         proficiency     with Microsoft Office suite especially Excel;      Intermediate     VB knowledge preferred     .                                 Self-     driven and     shows strong self-initiative to     meet deliverables and overcome issues.                                 Able to take ownership and follow through with tasks until completion.                                         ",100524501256,2024-05-10,2024-08-08,EducationalOccupationalCredential,12,Data Science & Analytics,Data Analyst,Financial Services,"Career development, Workflow, HTML, Investment banking, Medical insurance, Investment management, VB, Reporting tools, SQL, Python",-,9am-6pm,"Full Time, Permanent",Invesco,Organization,Invesco,https://img.naukimg.com/logo_images/groups/v1/374224.gif,Hyderabad,Hyderabad,-,-,-
Analyst- Data Management,"Job Description:  Location-Hyderabad  Role-Data management We are hiring for Data Ma nagement for one of our client which is a French multinational, Leading Global Healthcare & 5th largest Pharmaceutical company, Having headquarters in Paris. In India  Hyderabad they are trying to grow their IT HUB, which is currently 500-1000 people, across all digital transformation groups, and they are targeting to add another 200-300 by end of this year. Sanofi has recently embarked into a vast and ambitious digital transformation program,to accelerate R&D, manufacturing and commercial performance and bring better drugs and vaccines to patients faster, and to improve health and save lives.  Our team, across some 100 countries, is dedicated to transforming the practice of medicine by working to turn the impossible into the possible. We provide potentially life-changing treatment options and life-saving vaccine protection to millions of people globally, while putting sustainability and social responsibility at the center of our ambitions.  Key Responsibilities Data 	and busiCall Planning, BI & Analytics..etc)   Be 	the Subject Matter Expertise for data and business process 	management.   Ensure 	and manage data quality. Data stewardship for customer data, Collaborate 	with commercial business leads to review, validate, and approve the 	request to add/update metadata tags and/or tagging taxonomy. Create and manage the 	commercial data catalog. Qualifications   Bachelors 	degree from an accredited four-year college or university. Knowledge 	of customer data utilization within US based commercial and 	compliance functions. At 	least 2.5+ years direct experience with pharmaceutical 	commercial data with the emphasis on customer data.ness process 	accountability of customer data. Experience 	in customer data management, HCP/HCO Affiliation tagging Collaborate 	with commercial functions (CRM, Field Deployment, Digital Channel 	Marketing, Incentive Compensation,   At 	least 1-2 years experience in pharma commercial business process 	and data operations.   Strong 	knowledge of pharmaceutical sales and marketing data sources (IQVIA, 	DHC..etc.)     In-depth knowledge of common databases like IQVIA, DHC, DDD, Xponent, One 		Key, Symphony, APLD, SFMC, Omnichannel, Sales Engagement and 		execution data, etc.   working 		understanding in Pharma Data MDMs Experience 		in Reltio/SQL (MDM tools) is good to have Ability to translate business 	needs into data requirement. Understands the basic 	principles of data management and data processing. Understands the basic 	principles of data governance and date stewardship and data quality. Strong communication skills 	with ability to communicate the data management subject matter to a 	technical and non-technical internal customer.",100524007221,2024-05-10,2024-08-08,EducationalOccupationalCredential,24,Data Science & Analytics,Analytics Consultant,Pharmaceutical & Life Sciences,"Data analysis, HCP, IQVIA, HCO, Data Management, Data Analytics, DHC",-,9am-6pm,"Full Time, Permanent",Careernet Technologies,Organization,Careernet Technologies,https://img.naukri.com/logo_images/v3/4124.gif,Hyderabad,Hyderabad,-,-,-
Reporting - Senior Associate,"   A career in National Special Functions, within Business Services, will provide you with the opportunity to support service, sector, and market leaders to deliver the unique PwC client experience to our clients      you'll play an important part in continuously innovating and improving Firm operations so that we can continue to provide the highest quality of services to our current and prospective clients      Our PwC Intelligence team is responsible for serving as a strategic business partner for an assigned customer to identify and pursue new opportunities, conduct market analysis, and prepare revenue projections      you'll also develop new service offerings and solutions, enhance existing delivery capabilities, and support the delivery of solutions on engagements      As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution          PwC Professional skills and responsibilities for this management level include but are not limited to:              Use feedback and reflection to develop self awareness, personal strengths and address development areas.      Delegate to others to provide stretch opportunities, coaching them to deliver results.      Demonstrate critical thinking and the ability to bring order to unstructured problems.      Use a broad range of tools and techniques to extract insights from current industry or sector trends.      Review your work and that of others for quality, accuracy and relevance.      Know how and when to use tools available for a given situation and can explain the reasons for this choice.      Seek and embrace opportunities which give exposure to different situations, environments and perspectives.      Use straightforward communication, in a structured way, when influencing and connecting with others.      Able to read situations and modify behavior to build quality relationships.      Uphold the firms code of ethics and business conduct.                                    Reporting Senior Associate                                  As an accomplished Power      BI      developer, you will be expected to be able to      provide      complex data analysis      and be      able to produce reporting that can support      numerous      functions across the business. The role will cover all aspects of design, analysis, development, te      s      ting, debugging and documenting solutions to satisfy business requirements.                                  Business as Usual Service Delivery:                          Develop and improve    PowerBI datasets/models                    Collaborate with other teams within the      organization      and be able to devise the technical solution as it relates to the business & technical requirements                      Will be expected to mentor colleagues and be proactive in developing colleague skill sets to have a better understanding of Analysis Services                      Maintain documentation for all processes implemented                      Adhere to and suggest improvements to standards, best practices, and contribute to the improvement of these best practices                      Manage Stakeholder expectations by providing achievable timelines for outputs and ensuring stakeholder satisfaction with results                      Actively      solicit      stakeholder feedback for improving      the reporting proces     s                              Preferred Skills:                          Possessing experience with    Power BI and Power BI Service to support teams publishing reports;                Delivering relevant value-added insights from data                  Working as a recognized subject matter specialist within      the team while leading projects and managing the development of data-based deliverables;                  Taking an active part in building a personal knowledge base through proactive data analysis activities and efforts to build product deliverables either individually or with      stakeholder teams;                  Leveraging multiple software packages to execute      appropriate analytic and visualization techniques and execute in both standard point-and-click and customized code-based settings;                  Utilizing data extraction/transformation, analytics, and visualization approaches;                  Employing business intelligence software (e.g., Power BI      ) to turn data into insights; and having experience with    Alteryx, Power Query, Power Apps and / or other agile technologies preferre    d              ",90224500879,2024-02-09,2024-05-09,EducationalOccupationalCredential,24,Data Science & Analytics,Data Analyst,Accounting / Auditing,"Business services, Market analysis, Data analysis, Leadership development, Publishing, IFS, Agile, power bi, Business intelligence, Data extraction",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
Data Analytics - BI Engineer - Senior Associate," As a Senior Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution.      PwC Professional skills and responsibilities for this management level include but are not limited to:        Use feedback and reflection to develop self awareness, personal strengths and address development areas.      Delegate to others to provide stretch opportunities, coaching them to deliver results.      Demonstrate critical thinking and the ability to bring order to unstructured problems.      Use a broad range of tools and techniques to extract insights from current industry or sector trends.      Review your work and that of others for quality, accuracy and relevance.      Know how and when to use tools available for a given situation and can explain the reasons for this choice.      Seek and embrace opportunities which give exposure to different situations, environments and perspectives.      Use straightforward communication, in a structured way, when influencing and connecting with others.      Able to read situations and modify behavior to build quality relationships.      Uphold the firms code of ethics and business conduct.            Design, implement and maintain data technology solutions that meet business requirements.          Work closely with cross functional teams to develop and maintain scalable, robust, and efficient data architectures to support business Intelligence, analytics, and reporting needs.          Design, develop and maintain end-to-end BI solutions that are scalable, reliable, and secure including data modeling, reporting and dashboarding.      ",80523501020,2023-05-08,2023-08-06,EducationalOccupationalCredential,24,Data Science & Analytics,Data Analyst,Accounting / Auditing,"Leadership development, Managed services, Web services, Data modeling, Data analytics, Business intelligence, Continuous improvement, microsoft, Operations",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Hyderabad, Bengaluru","Hyderabad, Bengaluru",-,-,-
